feature,importance
P9_mean_60d_mom_20d,0.0
P9_mean_60d_acc_5d,0.0
P9_mean_60d,0.0
P9_mean_5d_mom_20d,0.0
P9_mean_5d_acc_5d,0.0
P9_mean_5d,0.0
P9_mean_20d_acc_5d,0.0
P9_mean_20d,0.0
P9_lag5,0.0
P9_lag20_mom_20d,0.0
P8_zscore_20d,0.0
P3_mean_60d,0.0
P5_lag20_acc_5d,0.0
P11_mean_60d,0.0
P11_mean_5d_acc_5d,0.0
P11_mean_20d_mom_20d,0.0
P11_mean_20d_acc_5d,0.0
P11_mean_20d,0.0
P11_lag5_acc_5d,0.0
P11_lag20_mom_20d,0.0
P11_lag20_acc_5d,0.0
P11_lag20,0.0
P11_lag1_mom_20d,0.0
P11_acc_5d,0.0
P10_zscore_20d_mom_20d,0.0
P10_zscore_20d_acc_5d,0.0
P10_std_60d_mom_20d,0.0
P10_std_60d_acc_5d,0.0
P10_std_5d_mom_20d,0.0
P10_std_5d,0.0
P10_std_20d_acc_5d,0.0
P10_pct_chg_5d_mom_20d,0.0
P10_mean_60d_mom_20d,0.0
P10_mean_60d_acc_5d,0.0
P10_mean_5d_mom_20d,0.0
P10_mean_5d,0.0
P10_mean_20d_mom_20d,0.0
P10_mean_20d_acc_5d,0.0
P10_lag5_mom_20d,0.0
P10_lag5_acc_5d,0.0
P10_lag5,0.0
P10_lag20_mom_20d,0.0
P10_lag20_acc_5d,0.0
P11_mean_5d_mom_20d,0.0
P11_mean_60d_acc_5d,0.0
P10_lag1_acc_5d,0.0
P11_pct_chg_5d_acc_5d,0.0
P12_std_60d,0.0
P12_std_5d_mom_20d,0.0
P12_std_5d,0.0
P12_std_20d_acc_5d,0.0
P12_std_20d,0.0
P12_pct_chg_5d_acc_5d,0.0
P12_mean_60d_mom_20d,0.0
P12_mean_60d_acc_5d,0.0
P12_mean_60d,0.0
P12_mean_5d_mom_20d,0.0
P12_mean_5d_acc_5d,0.0
P12_mean_5d,0.0
P12_mean_20d_mom_20d,0.0
P12_lag5_mom_20d,0.0
P12_lag5_acc_5d,0.0
P12_lag5,0.0
P12_lag20_mom_20d,0.0
P12_lag20_acc_5d,0.0
P12_lag20,0.0
P12_lag1_mom_20d,0.0
P12_lag1_acc_5d,0.0
P12_lag1,0.0
P12_acc_5d,0.0
P11_zscore_20d_mom_20d,0.0
P11_std_60d_mom_20d,0.0
P11_std_60d,0.0
P11_std_20d_mom_20d,0.0
P11_std_20d_acc_5d,0.0
P11_pct_chg_5d_mom_20d,0.0
P10_lag1_mom_20d,0.0
P10_lag1,0.0
P5_lag20,0.0
I9,0.0
I6,0.0
I5_rank_60d,0.0
I5_rank_200d,0.0
I5,0.0
I4_rank_200d,0.0
I4,0.0
I3_rank_60d,0.0
I3,0.0
I2_rank_60d,0.0
I2_rank_200d,0.0
I1,0.0
E9,0.0
E6,0.0
E5,0.0
E4,0.0
E20,0.0
E15,0.0
E14,0.0
E13,0.0
E12,0.0
E10,0.0
E1,0.0
D9,0.0
D8,0.0
D7,0.0
D6,0.0
D5,0.0
D4,0.0
D3,0.0
I7,0.0
M10_rel_20d,0.0
P10_acc_5d,0.0
M10_rel_60d,0.0
P1,0.0
M9_rel_60d,0.0
M9_rel_20d,0.0
M8_rel_60d,0.0
M8_rel_20d,0.0
M8,0.0
M7_rel_60d,0.0
M7_rel_20d,0.0
M5_rel_20d,0.0
M5,0.0
M3_rel_60d,0.0
M3_rel_20d,0.0
M3,0.0
M2_rel_20d,0.0
M2,0.0
M18_rel_60d,0.0
M18,0.0
M17_rel_60d,0.0
M17,0.0
M16_rel_60d,0.0
M16_rel_20d,0.0
M16,0.0
M15_rel_60d,0.0
M15_rel_20d,0.0
M15,0.0
M12_rel_60d,0.0
M12,0.0
M11_rel_60d,0.0
M11_rel_20d,0.0
P12_std_60d_mom_20d,0.0
P13_acc_5d,0.0
P13_lag1,0.0
